,Label,Synonym,Id,PMID,DefiningCitation,SuperCategory,Species/taxa,Definition,DefiningCriteria,Has role,FBbt Id,Abbrev,FBBT Link,Fasciculates with,CellSomaShape,CellSomaSize,Located in,SpineDensityOnDendrites,DendriteLocation,BranchingMetrics,AxonMyelination,AxonProjectionLaterality,LocationOfAxonArborization,LocationOfLocalAxonArborization,OriginOfAxon,Neurotransmitter/NeurotransmitterReceptors,MolecularConstituents,Curator_Notes,Phenotypes: ilx:has_location_phenotype,Notes
:Category:Adult deuterocerebrum DC tachykinin neuron,Adult deuterocerebrum DC tachykinin neuron,adult TC1 neuron,nlx_149005,,,Adult tachykinin neuron of the central nervous system,:Category:Drosophila,"Adult neuron that expresses tachykinin (FBgn0037976) whose cell body is located in the cortex of the anterior deuterocerebrum close to the antennal lobes. There are about 8 pairs of cell bodies per hemisphere (Winther et al., 2003).",,,:Category:Adult deuterocerebrum DC tachykinin neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00110046,,,,,,,,,,,,,,,,,
:Category:Adult dorsomedial neurosecretory cell,Adult dorsomedial neurosecretory cell,MNC,nlx_149065,,,Dorsomedial neurosecretory cell,:Category:Drosophila,"Neurosecretory cell of the pars intercerebralis that extend ventrally and branch before exiting the brain. It extends thin branches laterally in the dorsal protocerebrum, shorter branches along the cell neurites in the dorsal part of the median bundle and extensive arborizations in the tritocerebrum (Enell et al., 2010). The two branches follow the aorta and innervate the corpus cardiacum in the ring gland and the hypocerebral ganglion, near the cardiac valve of the midgut. One of the branches follows the stalk of the crop, whilst the other bifurcates, with each of these branches extending along each side of the midgut (Cao and Brown, 2001). Located in a bilateral cell body cluster of five to seven cells in each hemisphere (Cao and Brown, 2001, Broughton et al., 2005).",,,:Category:Adult dorsomedial neurosecretory cell,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00110107,,,,,,,,,,,,,,,,,
:Category:Adult labial interneuron,Adult labial interneuron,,nlx_147747,,,Interneuron (FBbt Term),:Category:Drosophila,,,,:Category:Adult labial interneuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00004037,Adult labial nerve,,,,,,,,,,,,,,,,
:Category:Adult labial motor neuron,Adult labial motor neuron,,nlx_147752,,,Motor neuron (FBbt Term),:Category:Drosophila,,,,:Category:Adult labial motor neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00004042,Adult labial nerve,,,,,,,,,,,,,,,,
:Category:Adult labial sensory neuron,Adult labial sensory neuron,,nlx_147739,,,Sensory neuron (FBbt Term),:Category:Drosophila,,,,:Category:Adult labial sensory neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00004029,Adult labial nerve,,,,,,,,,,,,,,,,
:Category:Adult lateral horn LHKL leucokinin neuron,Adult lateral horn LHKL leucokinin neuron,LHLK,nlx_149017,,,Adult leucokinin neuron of the central nervous system,:Category:Drosophila,"Adult neuron that expresses leucokinin (FBgn0028418) and whose large cell body is located in the lateral horn. Its thin processes run ventrally before bifurcating into two main collateral branches which innervate the superior lateral and median protocerebrum, the region around the mushroom body pedunculus and the mushroom body calyx. There is one neuron per hemisphere (de Haro et al., 2010).",,,:Category:Adult lateral horn LHKL leucokinin neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00110058,,,,,,,,,,,,,,,,,
:Category:Adult leucokinin SELK neuron of the subesophageal ganglion,Adult leucokinin SELK neuron of the subesophageal ganglion,adult SELK neuron,nlx_149015,,,Adult leucokinin neuron of the central nervous system,:Category:Drosophila,"Adult neuron that expresses leucokinin (FBgn0028418) whose cell body is located in the ventromedial subesophageal ganglion. The axon collaterals in the brain innervate the subesophageal ganglion ipsi- and contralaterally, the tritocerebrum and fasciculate with the maxillary and labral nerve. Four axons extend along the cervical connective to the ventral nerve cord. The axons that extend along the ventral nerve cord connect to the leucokinin ABLK neurons. There are two to three pairs of neurons (de Haro et al., 2010).",,,:Category:Adult leucokinin SELK neuron of the subesophageal ganglion,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00110056,"Adult labral nerve,Cervical connective,Adult maxillary nerve",,,,,,,,,,,,,,,,
:Category:Adult leucokinin neuron of the central nervous system,Adult leucokinin neuron of the central nervous system,,nlx_149023,,,Leucokinin neuron,:Category:Drosophila,"An adult neuron that expresses leucokinin (FBgn0028418) and that is located in the central nervous system (de Haro et al., 2010).",,,:Category:Adult leucokinin neuron of the central nervous system,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00110064,,,,,,,,,,,,,,,,,
:Category:Adult olfactory receptor neuron,Adult olfactory receptor neuron,adult odorant receptor neuron,nlx_148091,,,Olfactory receptor neuron (FBbt Term),:Category:Drosophila,Any olfactory receptor neuron (FBbt_00005926) that is part of some adult (FBbt_00003004).,,,:Category:Adult olfactory receptor neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00007386,,,,,,,,,,,,,,,,,
:Category:Adult olfactory receptor neuron Ir64a,Adult olfactory receptor neuron Ir64a,Ir64a,nlx_148987,,,Antennal olfactory receptor neuron,:Category:Drosophila,"Bilateral olfactory receptor neuron that expresses the ionotropic glutamate receptor (Ir) 64a (FBgn0035604) and the co-receptor Ir8a (FBgn0052704). Its axon branches, with one branch innervating the ipsilateral antennal lobe glomeruli DL4 and DP1 medial compartment and the other fasciculating with the antennal commissure and innervating the contralateral antennal lobe glomeruli DC4 and DP1 medial compartment (Ai et al., 2010, Silbering et al., 2011). Its dendrite transduces signals from the grooved sensillum of chamber III of the sacculus (Shanbhag et al., 1995).",,,:Category:Adult olfactory receptor neuron Ir64a,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00110019,Antennal commissure,,,,,,,,,,,,,,,,
:Category:Adult optic lobe OL tachykinin neuron,Adult optic lobe OL tachykinin neuron,adult OL neuron,nlx_149006,,,Adult tachykinin neuron of the central nervous system,:Category:Drosophila,"Adult neuron that expresses tachykinin (FBgn0037976) and whose cell body is located at the base of the optic lobe. There are about 10 pairs of cell bodies per hemisphere (Winther et al., 2003).",,,:Category:Adult optic lobe OL tachykinin neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00110047,,,,,,,,,,,,,,,,,
:Category:Adult pacemaker neuron,Adult pacemaker neuron,,nlx_148513,,,Pacemaker neuron,:Category:Drosophila,Pacemaker neuron that is part of the adult nervous system.,,,:Category:Adult pacemaker neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00100163,,,,,,,,,,,,,,,,,
:Category:Adult protocerebral LPP1 tachykinin neuron,Adult protocerebral LPP1 tachykinin neuron,adult LPP1 neuron,nlx_149003,,,Adult tachykinin neuron of the central nervous system,:Category:Drosophila,"Adult neuron that expresses tachykinin (FBgn0037976) and  whose cell body is located in the posterior protocerebrum. One cluster of around 12 cell bodies is found per hemisphere (Winther et al., 2003).",,,:Category:Adult protocerebral LPP1 tachykinin neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00110044,,,,,,,,,,,,,,,,,
:Category:Adult protocerebral LPP2 tachykinin neuron,Adult protocerebral LPP2 tachykinin neuron,adult LPP2 neuron,nlx_149002,,,Adult tachykinin neuron of the central nervous system,:Category:Drosophila,"Adult neuron that expresses tachykinin (FBgn0037976), whose cell body is located in the lateral posterior protocerebrum and that innervates the superior median protocerebrum and the fan-shaped body. One cluster of around 10 cell bodies is found per hemisphere (Winther et al., 2003).",,,:Category:Adult protocerebral LPP2 tachykinin neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00110043,,,,,,,,,,,,,,,,,
:Category:Adult protocerebral MPP tachykinin neuron,Adult protocerebral MPP tachykinin neuron,adult MPP neuron,nlx_149004,,,Adult tachykinin neuron of the central nervous system,:Category:Drosophila,"Adult neuron that expresses tachykinin (FBgn0037976) and whose cell body is located in the median posterior protocerebrum. One cluster of around 3 cell bodies is found per hemisphere (Winther et al., 2003).",,,:Category:Adult protocerebral MPP tachykinin neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00110045,,,,,,,,,,,,,,,,,
:Category:Adult tachykinin neuron of the central nervous system,Adult tachykinin neuron of the central nervous system,,nlx_149020,,,Tachykinin neuron,:Category:Drosophila,"An adult neuron that expresses tachykinin (FBgn0037976) and that is located in the central nervous system (Winther et al., 2003).",,,:Category:Adult tachykinin neuron of the central nervous system,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00110061,,,,,,,,,,,,,,,,,
:Category:Adult tachykinin neuron of the thoracic-abdominal ganglion,Adult tachykinin neuron of the thoracic-abdominal ganglion,,nlx_149010,,,Adult tachykinin neuron of the central nervous system,:Category:Drosophila,"Adult neuron that expresses tachykinin (FBgn0037976) whose cell body is located in the thoracic-abdominal ganglion. There are 10 to 12 pairs in the prothoracic, 5 to 6 in the mesothoracic, 8 to 12 in the metathoracic and 1 to 2 in the abdominal neuromeres (Winther et al., 2003).",,,:Category:Adult tachykinin neuron of the thoracic-abdominal ganglion,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00110051,,,,,,,,,,,,,,,,,
:Category:Adult tritocerebral TC1 tachykinin neuron,Adult tritocerebral TC1 tachykinin neuron,tritocerebral neuron TC1,nlx_149009,,,Adult tachykinin neuron of the central nervous system,:Category:Drosophila,"Adult neuron that expresses tachykinin (FBgn0037976), whose cell body is located in the tritocerebrum and which innervates, among other regions, the fan-shaped body. One cluster of around 16 cell bodies is found per hemisphere (Winther et al., 2003).",,,:Category:Adult tritocerebral TC1 tachykinin neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00110050,,,,,,,,,,,,,,,,,
:Category:Amacrine neuron,Amacrine neuron,amacrine cell,nlx_158403,,,Neuron,:Category:Vertebrata,"A neuron characterized by amacrine extensions. Discovered first by Herophilus (335-263 BC) in the retina. Considered initially without axon, now they are commonly found in nerve nets, where they may have an axon and/or dendrite.\n Adapted from Swanson, 2013.",,:Category:Intrinsic neuron role,,,,,,,,,,,,,,,,,,,"ilx:has_morphological_phenotype amacrine , ilx:has_circuit_role_phenotype intrinsic",
:Category:Aminergic neuron,Aminergic neuron,,nlx_148084,,,Neuron,:Category:Drosophila,"Any neuron (FBbt_00005106) that releases as a neurotransmitter, some amine (CHEBI:32952).",,,:Category:Aminergic neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00007368,,,,,,,,,,,,,,,,,
:Category:Amygdala basolateral nuclear complex nonpyramidal PV basket cell,Amygdala basolateral nuclear complex nonpyramidal PV basket cell,,nlx_149090,,,Neuron,:Category:Mammal,Multipolar nonpyramidal interneuron whose axon forms multiple synaptic contacts with the somata of numerous neighboring pyramidal cells. It is one of several parvalbumin-containing interneuronal subpopulations.,,:Category:Intrinsic neuron role,,,,,Category:Multipolar ,Medium soma,:Category:Basolateral nuclear complex,:Category:Smooth,,,myelinated,ipsilateral,:Category:None,:Category:Basolateral nuclear complex,soma and sometimes dendrite,,:Category:Parvalbumin,,"ilx:has_location_phenotype UBERON:0006107 , ilx:has_morphological_phenotype nonpyramidal , ilx:has_morphological_phenotype basket , ilx:has_expression_phenotype parvalbumin , ilx:has_circuit_role_phenotype intrinsic",
:Category:Amygdala basolateral nuclear complex nonpyramidal PV chandelier cell,Amygdala basolateral nuclear complex nonpyramidal PV chandelier cell,axo-axonic interneuron,nlx_149091,,,Neuron,:Category:Mammal,Multipolar nonpyramidal interneuron whose axon forms multiple synaptic contacts with the axon initial segments of numerous neighboring pyramidal cells. It is one of several parvalbumin-containing interneuronal subpopulations.,,:Category:Intrinsic neuron role,,,,,Category:Multipolar ,Medium soma,:Category:Basolateral nuclear complex,:Category:Smooth,,,myelinated,ipsilateral,:Category:None,:Category:Basolateral nuclear complex,soma and sometimes dendrite,,:Category:Parvalbumin,,"ilx:has_location_phenotype UBERON:0006107 , ilx:has_morphological_phenotype nonpyramidal , ilx:has_morphological_phenotype chandelier , ilx:has_expression_phenotype parvalbumin , ilx:has_circuit_role_phenotype intrinsic",
:Category:Amygdala basolateral nuclear complex nonpyramidal SOM neuron,Amygdala basolateral nuclear complex nonpyramidal SOM neuron,,nlx_149093,,,Neuron,:Category:Mammal,"Somatostatin-containing nonpyramidal neuron whose axon forms synaptic contacts with the distal dendrites and spines of neighboring pyramidal cells. Although generally considered an interneuron, at least some of these cells have distant axonal projections to the substantia innominata or entorhinal cortex. A subpopulation expresses neuropeptide Y.",,:Category:Intrinsic neuron role,,,,,Category:Fusiform ,Medium soma,:Category:Basolateral nuclear complex,:Category:Spiny low density,,bitufted,unmyelinated,ipsilateral,":Category:Substantia innominata,:Category:Entorhinal cortex",:Category:Basolateral nuclear complex,soma and sometimes dendrite,,:Category:Somatostatin,,"ilx:has_location_phenotype UBERON:0006107 , ilx:has_expression_phenotype somatostatin ,  ilx:has_circuit_role_phenotype intrinsic",
:Category:Amygdala basolateral nuclear complex pyramidal neuron,Amygdala basolateral nuclear complex pyramidal neuron,"Pyramidal cell basolateral amygdalar nucleus,Amygdala basolateral nucleus pyramidal neuron",nifext_152,,,Neuron,:Category:Mammal,"These neurons make up ~80-85% of neurons in the basolateral nuclear complex of the amygdala. Unlike cortical pyramidal cells, they are not arranged with parellel apical dendrites but are randomly organized.",,:Category:Principal neuron role,,PN,,,Category:Pyramidal ,Large soma,:Category:Basolateral nuclear complex,:Category:Spiny high density,,,myelinated,bilateral,":Category:Cerebral cortex,:Category:Hippocampus,:Category:Striatum,:Category:Basal forebrain,:Category:Amygdala,:Category:Bed nucleus of stria terminalis",:Category:Intranuclear,soma,,:Category:Calcium calmodulin protein kinase II,,"ilx:has_location_phenotype UBERON:0006107 , ilx:has_morphological_phenotype pyramidal , ilx:has_circuit_role_phenotype principal",
:Category:Amygdala intercalated nuclei small spiny neuron,Amygdala intercalated nuclei small spiny neuron,paracapsular intercalated cell (ITC),nlx_149095,,,Neuron,:Category:Mammal,Small spiny principal neurons of the intercalated nuclei. These nuclei are clusters of neurons surrounding rostral portions of the basolateral nuclear complex. Some of these clusters are located adjacent to the external capsule or intermediate capsule (paracapsular intercalated nuclei).,,:Category:Principal neuron role,,ITC,,,Category:Spherical ,Small soma,:Category:Intercalated amygdaloid nuclei,:Category:Spiny high density,,,myelinated,ipsilateral,":Category:Central amygdaloid nucleus,:Category:Basolateral nuclear complex",:Category:Intercalated amygdaloid nuclei,soma and sometimes dendrite,,,,"ilx:has_location_phenotype UBERON:0002884 , ilx:has_morphological_phenotype small , ilx:has_morphological_phenotype spiny , ilx:has_circuit_role_phenotype principal",
:Category:Amygdala lateral central nucleus medium spiny neuron,Amygdala lateral central nucleus medium spiny neuron,,nlx_149094,,,Neuron,:Category:Mammal,"Medium-sized, multipolar, principal neuron found in lateral portions of the central nucleus. It has very spiny dendrites and closely resembles the medium spiny neuron of the adjacent striatum.",,:Category:Principal neuron role,,,,,Category:Spherical ,Medium soma,:Category:Central amygdaloid nucleus,:Category:Spiny high density,,,myelinated,ipsilateral,":Category:Bed nucleus of stria terminalis,:Category:Substantia innominata,:Category:Parabrachial nucleus",:Category:Central amygdaloid nucleus,soma and sometimes dendrite,,":Category:Corticotropin releasing factor,:Category:Neurotensin,:Category:Somatostatin,:Category:Enkephalin",,"ilx:has_location_phenotype UBERON:0002883 , ilx:has_location_phenotype lateral , ilx:has_morphological_phenotype medium , ilx:has_morphological_phenotype spiny , ilx:has_circuit_role_phenotype principal",
:Category:Antennal lobe (Honey bee) interneuron,Antennal lobe (Honey bee) interneuron,Antennal lobe local interneuron,nlx_151565,,,Neuron,":Category:Honey bee,:Category:Apis mellifera carnica","Interglomerular local interneurons in the antennal lobe of the honey bee, Apis mellifera. Homoglomerular and heteroglomerular innervation patterns. Total of 4000 neurons, about two third GABA immunoreactive. Other transmitters possibly histamine and glutamate.",,:Category:Intrinsic neuron role,,"LIN, LN",,,Category:Spherical ,Medium soma,:Category:Antennal lobe,:Category:Spiny low density,:Category:Antennal lobe glomerulus,unipolar,unmyelinated,ipsilateral,:Category:None,:Category:Glomerulus,dendrite,,,,,
:Category:Antennal lobe (Honey bee) principal neuron,Antennal lobe (Honey bee) principal neuron,Antennal lobe principal neuron,nlx_151564,,,Neuron,":Category:Honey bee,:Category:Apis mellifera","Projection neuron of the honey bee, Apis mellifera,whose soma is located on the rind of the antennal lobe.The axons of uniglomerular projection neurons project to the mushroom body calyx and to the lateral horn in the protocerebral lobe.The axons of the multiglomerular projction neurons project to the protocebral lobe only.",,:Category:Principal neuron role,,"ACT neurons, APT neurons",,,Category:Spherical ,Medium soma,:Category:Antennal lobe rind,:Category:Spiny high density,:Category:Antennal lobe of honey bee,unipolar,unmyelinated,ipsilateral,":Category:Mushroom body,:Category:Protocerebral lobe",:Category:Aglomerular layer of antennal lobe,dendrite,,,,,
:Category:Antennal lobe (Manduca) interneuron,Antennal lobe (Manduca) interneuron,multiglomerular local interneuron,nlx_151689,,,Neuron,:Category:Manduca sexta,"local interneuron in the tobacco hornworm moth, in neuronal cell groups at the border of the antennal lobe (mainly lateral group) that express various neuropeptides in subsets of LNs",,:Category:Intrinsic neuron role,,"LN, m-LN",,,Category:Spherical ,Large soma,:Category:Antennal lobe,,,,,,,,no axon,,:Category:Neuropeptide,,,
:Category:Antennal lobe (Manduca) principal neuron,Antennal lobe (Manduca) principal neuron,"uniglomerular projection neuron,medial-antenno-protocerebral-tract projection neuron,inner-antennocerebral-tract projection neuron",nlx_151688,,,Neuron,:Category:Manduca sexta,"uniglomerular principal neuron in the antennal lobe of the tobacco hornworm moth, in neuronal cell groups on the border of the antennal lobe, mainly medial and anterior cell groups.  It likely uses acetylcholine as a transmitter.  The axon projects to lateral protocerebrum with collaterals in the mushroom body.",,:Category:Principal neuron role,,"uPN, uPN (m-APT), uPN (i-ACT)",,,Category:Spherical ,Medium soma,:Category:Antennal lobe,:Category:Spiny low density,,,unmyelinated,ipsilateral,":Category:Lateral protocerebrum,:Category:Mushroom body",,dendrite,,,,,
:Category:Antennal olfactory receptor neuron,Antennal olfactory receptor neuron,antennal ORN,nlx_148073,,,Adult olfactory receptor neuron,:Category:Drosophila,Odorant receptor neuron (ORN) whose dendrite transduces signals from some antennal sensillum. The axons of these neurons fasciculate in the antennal nerve and innervate the antennal lobe.,,,:Category:Antennal olfactory receptor neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00007352,Adult antennal nerve,,,,,,,,,,,,,,,,
:Category:Anteriolateral neurosecretory cell,Anteriolateral neurosecretory cell,,nlx_147720,,,Neurosecretory cell,:Category:Drosophila,,,,:Category:Anteriolateral neurosecretory cell,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00004010,,,,,,,,,,,,,,,,,
