,Synonym,Label,Id,Definition,ExternallySourcedDefinition,Comment,Synonym,Species,PartiallyOverlapsWith,Is part of,Has role,RelatedTo,Category,SuperCategory
:Category:Aggregate regional part of brain,,Aggregate regional part of brain,nlx_anat_20090509,"A regional part of brain consisting of multiple brain regions that are not related through a simple volummetric part of hierarchy, e.g., basal ganglia.",,"We'll use this category differently than ""Composite brain structure spanning multiple base parts"" which should be used for structures like the medial lemniscus that are found in different brain locations",,,,,,,:Category:Regional part of brain,Regional part of brain
:Category:Alar central lobule,,Alar central lobule,birnlex_907,,,,,,,,,,:Category:Lobular parts of the cerebellar cortex,Lobular parts of the cerebellar cortex
:Category:Allocortex,,Allocortex,nlx_143557,,,,,,,,,,:Category:Regional part of brain,Regional part of brain
:Category:Alveus,,Alveus,birnlex_1510,"Layer of white matter in hippocampus lying just deep to the stratum oriens layer, continuous with the fimbria of the hippocampus",,,,,,":Category:Hippocampal formation,:Category:White matter",,,:Category:Regional part of brain,Regional part of brain
:Category:Amiculum of dentate nucleus,,Amiculum of dentate nucleus,birnlex_1044,,,,,,,:Category:Dentate nucleus,,,:Category:Regional part of brain,Regional part of brain
:Category:Ampulla caudalis,,Ampulla caudalis,nlx_151879,"Caudal dilation of the spinal cord central canal. In lower vertebrates, it represents the major route by which cerebral spinal fluid enters the blood stream.",,,terminal ventricle,:Category:Vertebrata,,:Category:Spinal cord central canal,,,:Category:Regional part of spinal cord,Regional part of spinal cord
:Category:Amygdala,,Amygdala,birnlex_1241,"Subcortical brain region lying anterior to the hippocampal formation in the temporal lobe and anterior to the temporal horn of the lateral ventricle in some species.  It is usually subdivided into several groups.  Functionally, it is not considered a unitary structure (MM).",,,"amygdaloid nucleus,amygdaloid body,archistriatum,Amygdaloid complex",,,":Category:Telencephalon,:Category:Basal forebrain,:Category:Basal nuclear complex",:Category:PONS reference structure,,:Category:Regional part of brain,Regional part of brain
:Category:Amygdala of Macaque,,Amygdala of Macaque,nlx_12298,,,,,:Category:Macaque,,,,,:Category:Amygdala,Amygdala
:Category:Amygdala of PHT00,,Amygdala of PHT00,nlx_br_927,,,,amygdala,:Category:Macaque,,:Category:Subcortical structures of PHT00,,,:Category:Amygdala of Macaque,Amygdala of Macaque
:Category:Angular gyrus,,Angular gyrus,birnlex_1376,"Part of inferior parietal lobule formed by the cortex surrounding the upturned end of the superior temporal sulcus (Nolte, The Human Brain, 6th ed, 2009, pg 659)",,,,:Category:Human,,,,:Category:Inferior parietal cortex,:Category:Regional part of brain,Regional part of brain
:Category:Annectant gyrus,,Annectant gyrus,birnlex_1391,,,,,:Category:Human,,:Category:Occipital lobe,,,:Category:Regional part of brain,Regional part of brain
:Category:Ansa lenticularis,,Ansa lenticularis,nlx_87326,"White matter bundle containing part of the projection of the globus pallidus to the thalamus, forming a compact, conspicuous bundle running beneath the internal capsule and hooking around its medial edge (Nolte, The Human Brain, 6th ed., 2009, pg 659)",,,,:Category:Primate,,":Category:Telencephalon,:Category:White matter",,,:Category:Regional part of brain,Regional part of brain
:Category:Ansoparamedian fissure,,Ansoparamedian fissure,nlx_anat_20081256,Fissure between cerebellar hemispheric lobules VIIBi and VIIBii.,,,"Fissura Inferior Posterior,Fissura Ansoparamedianus",,,,,,:Category:Superficial feature part of the cerebellum,Superficial feature part of the cerebellum
:Category:Antenna lobe of Manduca,,Antenna lobe of Manduca,nlx_151563,"The Antennal lobe is the first olfactory processing center in the insect brain (similar to the olfactory bulb in vertebrates).
Manduca is a moth genus of the Sphingidae (hawkmoth) family. The Carolina Sphinx (Manduca sexta) is often used in biological research. http://en.wikipedia.org/wiki/Manduca",,,,:Category:Manduca,,,,,:Category:Regional part of brain,Regional part of brain
:Category:Antennal commissure,,Antennal commissure,nlx_147690,Commissure consisting of about 2500 axons located anterior and ventral to the fan-shaped body which connects the two antennal lobes at their postero-dorsal corners.,,,VAC2,,,:Category:Adult deuterocerebrum,,,:Category:Commissure,Commissure
:Category:Anterior Funiculus,,Anterior Funiculus,nlx_379,,,,,,,:Category:Spinal cord white matter,,,:Category:Funiculi,Funiculi
:Category:Anterior Paravermal Cortex,,Anterior Paravermal Cortex,nlx_144122,,,,,,,,,,:Category:Regional part of brain,Regional part of brain
:Category:Anterior amygdaloid area,,Anterior amygdaloid area,birnlex_2698,,,,"anterior amygaloid area,anterior amygdalar area,anterior cortical nucleus",:Category:Mammal,:Category:Anterior amygdaloid area of PHT00,:Category:Corticomedial nuclear complex,,,:Category:Regional part of brain,Regional part of brain
:Category:Anterior ascending limb of lateral sulcus,,Anterior ascending limb of lateral sulcus,birnlex_1330,,,,,,,":Category:Lateral sulcus,:Category:Frontal lobe",,,:Category:Sulcus,Sulcus
:Category:Anterior calcarine sulcus,,Anterior calcarine sulcus,birnlex_1072,,,,"Sulcus calcarinus anterior,anterior calcarine fissure",,,:Category:Calcarine sulcus,,,:Category:Sulcus,Sulcus
:Category:Anterior cingulate cortex,,Anterior cingulate cortex,birnlex_936,The frontal part of the cingulate cortex that resembles a collar form around the corpus callosum. It includes both the ventral and dorsal areas of the cingulate cortex. http://en.wikipedia.org/wiki/File:Gray727.svg,,,anterior cingulate,,:Category:Anterior cingulate gyrus,":Category:Cingulate cortex,:Category:Limbic system",,,:Category:Regional part of brain,Regional part of brain
:Category:Anterior cingulate gyrus,,Anterior cingulate gyrus,birnlex_1603,,,,,:Category:Human,,:Category:Cingulate gyrus,,,:Category:Regional part of brain,Regional part of brain
:Category:Anterior column of fornix,,Anterior column of fornix,birnlex_731,,,,,,,:Category:Fornix,,,:Category:Regional part of brain,Regional part of brain
:Category:Anterior commissure,,Anterior commissure,birnlex_1557,"A forebrain white matter structure consisting of a  large fiber bundle, connecting the two cerebral hemispheres across the middle line, located in front of the columns of the fornix. On sagittal section it is oval in shape, its long diameter being vertical and measuring about 5 mm. Its fibers can be traced lateralward and backward on either side beneath the corpus striatum into the substance of the temporal lobe. It serves in this way to connect the two temporal lobes, but it also contains decussating fibers from the olfactory tracts. (http://en.wikipedia.org/wiki/Anterior_commissure)",,,,,,":Category:Telencephalon,:Category:White matter",,,:Category:Commissure,Commissure
:Category:Anterior commissure anterior part,,Anterior commissure anterior part,birnlex_969,"The part of the anterior commissure that contains fibers interconnecting the anterior olfactory nucleus in each hemisphere.  The fibers extend from the commissural region of the anterior commissure anteriorly into the olfactory bulb.  Within the commissural portion, the fibers lie in the anterior portion, but cannot be easily distinguished from the posterior fibers on gross dissection.  (Adapted from Heimer, 1996)",,,,,,:Category:Anterior commissure,,,:Category:Regional part of brain,Regional part of brain
:Category:Anterior commisure,,Anterior commisure,"nlx_144088,birnlex_1557",,"A forebrain white matter structure consisting of a  large fiber bundle, connecting the two cerebral hemispheres across the middle line, located in front of the columns of the fornix. On sagittal section it is oval in shape, its long diameter being vertical and measuring about 5 mm. Its fibers can be traced lateralward and backward on either side beneath the corpus striatum into the substance of the temporal lobe. It serves in this way to connect the two temporal lobes, but it also contains decussating fibers from the olfactory tracts. (http://en.wikipedia.org/wiki/Anterior_commissure)",,,,,:Category:Basal forebrain,,,:Category:Regional part of brain,Regional part of brain
:Category:Anterior horizontal limb of lateral sulcus,,Anterior horizontal limb of lateral sulcus,birnlex_1327,,,,,:Category:Human,,":Category:Lateral sulcus,:Category:Frontal lobe",,,:Category:Sulcus,Sulcus
:Category:Anterior horn of lateral ventricle,,Anterior horn of lateral ventricle,birnlex_1279,"Part of the lateral ventricle that extends anteriorly into the frontal lobes, bordered by the head of the caudate nucleus on the lateral side (Adapted from Heimer, 1996)",,,,,,:Category:Lateral ventricle,,,:Category:Regional part of brain,Regional part of brain
:Category:Anterior hypothalamic commissure,,Anterior hypothalamic commissure,birnlex_1424,,,,Anterior hypothalamic decussation of Ganser,,,":Category:White matter,:Category:Anterior hypothalamic region",,,:Category:Commissure,Commissure
:Category:Anterior hypothalamic region,,Anterior hypothalamic region,birnlex_1005,,,,Anterior hypothalamus,,,,,,:Category:Regional part of brain,Regional part of brain
:Category:Anterior limb of internal capsule,,Anterior limb of internal capsule,nlx_144257,Portion of internal capsule lying between the lenticular nucleus and the head of the caudate nucleus.,,,,:Category:Primate,,:Category:Internal capsule,,,:Category:Regional part of brain,Regional part of brain
:Category:Anterior lobe of the cerebellum,,Anterior lobe of the cerebellum,birnlex_1118,,,,"spinocerebellum,Paleocerebellum",,,:Category:Cerebellum,,,:Category:Lobe parts of the cerebellar cortex,Lobe parts of the cerebellar cortex
:Category:Anterior median eminence,,Anterior median eminence,birnlex_1264,,,,,,,:Category:Median eminence,,,:Category:Regional part of brain,Regional part of brain
:Category:Anterior median fissure,,Anterior median fissure,nlx_152094,,,,Anterior median fissure of spinal cord,,,:Category:Spinal cord,,,:Category:Sulcus,Sulcus
:Category:Anterior median oculomotor nucleus,,Anterior median oculomotor nucleus,birnlex_1445,,,,,,,:Category:Oculomotor nuclear complex,,,:Category:Regional part of brain,Regional part of brain
:Category:Anterior middle temporal sulcus,,Anterior middle temporal sulcus,birnlex_998,,,,,:Category:Human,,:Category:Temporal lobe,,,:Category:Sulcus,Sulcus
:Category:Anterior nuclear group,,Anterior nuclear group,birnlex_1692,"Mostly gray regional part of anterior thalamic region, consisting of the anterior medial, anterior dorsal and anterior lateral thalamic nuclei in primates.  In rodents, it consists of anterior medial and anterior ventral divisions, with several subdivisions of each, according to Paxinos (MM: 2006-10-26)",,,"anterior nucleus of thalamus,nuclei anterior thalami,nuclei thalamicus anterior,nuclei anteriores thalami,nuclei anteriores (thalami),anterior thalamus,anterior thalamic nuclei",,,:Category:Thalamus,,,:Category:Regional part of brain,Regional part of brain
:Category:Anterior nucleus of hypothalamus,,Anterior nucleus of hypothalamus,birnlex_1226,,"Loose heterogeneous collection of cells in the anterior hypothalamus, continuous rostrally with the medial and lateral preoptic areas and caudally with the tuber cinereum. (MSH)","This hierarchy needs some examination, particularly in clarifying the relationship between these classical structures from NeuroNames vs atlases like the Allen Brain Atlas.  I don't feel qualified to state overlaps relationships without some additional research.  NeuroNames has Anterior hypothalamic region --> anterior hypothalamic area, which is a synonym of anterior hypothalamic nucleus.  ABS 2009 does not have an anterior hypothalamic region, and has both an anterior hypothalamic area and an anterior hypothalamic nucleus.  However, in the current version of the Allen Reference Atlas (accessed April 5, 2014), the anterior hypothalamic area is grayed out, while the anterior hypothalamic nucleus is still listed.",Anterior hypothalamic area,,,:Category:Anterior hypothalamic region,,,:Category:Regional part of brain,Regional part of brain
:Category:Anterior nucleus of hypothalamus central part,,Anterior nucleus of hypothalamus central part,birnlex_1119,,,,,,,:Category:Anterior nucleus of hypothalamus,,,:Category:Regional part of brain,Regional part of brain
:Category:Anterior nucleus of hypothalamus dorsal part,,Anterior nucleus of hypothalamus dorsal part,birnlex_1139,,,,,,,:Category:Anterior nucleus of hypothalamus,,,:Category:Regional part of brain,Regional part of brain
:Category:Anterior nucleus of hypothalamus posterior part,,Anterior nucleus of hypothalamus posterior part,birnlex_1125,,,,,,,:Category:Anterior nucleus of hypothalamus,,,:Category:Regional part of brain,Regional part of brain
:Category:Anterior occipital sulcus,,Anterior occipital sulcus,birnlex_4023,,,,"sulcus annectans,sulci occipitales superiores,ascending limb of the inferior temporal sulcus,Sulcus occipitalis anterior,posterior Inferior Temporal Sulcus",,,:Category:Occipital lobe,,,:Category:Sulcus,Sulcus
:Category:Anterior olfactory nucleus,,Anterior olfactory nucleus,birnlex_1085,"Laminated structure lying caudal to the olfactory bulb in all vertebrates.  Based on Nissl stains, the AON has been divided into two basic zones: ""pars externa,"" a thin ring of cells that encircles the rostral end of the olfactory peduncle, and the remainder, sometimes referred to as ""pars cruralis"" or ""pars principalis""",,,,:Category:Vertebrata,:Category:Anterior olfactory nucleus of PHT00,":Category:Telencephalon,:Category:Olfactory peduncle",,,:Category:Nucleus of CNS,Nucleus of CNS
:Category:Anterior olfactory nucleus pars externa,,Anterior olfactory nucleus pars externa,nlx_152598,"One of two main divisions of the anterior olfactory nucleus, comprising a thin ring of cells that encircles the rostral end of the olfactory peduncle",,,,,,:Category:Anterior olfactory nucleus,,,:Category:Regional part of brain,Regional part of brain
:Category:Anterior olfactory nucleus pars principalis,,Anterior olfactory nucleus pars principalis,nlx_152597,,,,,,,:Category:Anterior olfactory nucleus,,,:Category:Regional part of brain,Regional part of brain
:Category:Anterior parieto-occipital sulcus,,Anterior parieto-occipital sulcus,birnlex_1079,,,,"Sulcus parieto-occipitalis anterior,medial parieto-occipital fissure",":Category:Macaque,:Category:Human",,:Category:Cerebral cortex,,,:Category:Sulcus,Sulcus
:Category:Anterior parolfactory sulcus,,Anterior parolfactory sulcus,birnlex_4039,,,,"Paraolfactory sulci,Sulcus parolfactorius anterior,Set of paraolfactory sulci,paraolfactory sulcus",,,:Category:Telencephalon,,,:Category:Sulcus,Sulcus
:Category:Anterior perforated substance,,Anterior perforated substance,birnlex_1096,"Regional part of telencephalon lying on the basal surface and bounded by the olfactory trigone rostrally, the diagonal band medially and caudally and the prepiriform cortex laterally.  It is characterized by many perforations caused by small blood vessels entering the gray matter (Meyer et al., J. Comp. Neurol 284: 405, 1989).",,,substantia perforata anterior,:Category:Human,,,,,:Category:Regional part of brain,Regional part of brain
:Category:Anterior pretectal nucleus,,Anterior pretectal nucleus,nlx_144456,,,,,:Category:Mammal,,:Category:Pretectum,,,:Category:Regional part of brain,Regional part of brain
:Category:Anterior quadrangular lobule,,Anterior quadrangular lobule,birnlex_913,,,,,,,,,,:Category:Lobular parts of the cerebellar cortex,Lobular parts of the cerebellar cortex
:Category:Anterior spinocerebellar tract,,Anterior spinocerebellar tract,birnlex_848,"White matter tract that runs through the ventrolateral surface of the spinal cord.  It enters the cerebellum through the superior cerebellar peduncle.  It arises from cell bodies located in the intermediate and ventral gray matter in the lower half of the spinal cord (Heimer, L:  The Human Brain and Spinal Cord, 1995, pg 370).  It crosses the midline at the segmental level and recrosses in the cerebellum.  Its terminals are distributed in the cerebellar anterior lobe, preferentially in the ipsilateral intermediate cortex.  Rostrally, it extends to lobule II.  The equivalent pathway from the cervical cord is the rostral spinocerebellar tract (Heimer, L:  The Human Brain and Spinal Cord, 1995, pg 370)",,,"ventral spinocerebellar tract,Gower's tract",,,":Category:Spinocerebellar tract,:Category:White matter",,,:Category:Nerve tract,Nerve tract
:Category:Anterior subcentral sulcus,,Anterior subcentral sulcus,birnlex_1332,A branch from the lateral fissure into the precentral gyrus of the frontal lobe caudal to the diagonal sulcus,,,"inferior precentral dimple,anterior subcentral dimple",:Category:Macaque,,:Category:Frontal lobe,,,:Category:Sulcus,Sulcus
:Category:Anterior superior frontal sulcus,,Anterior superior frontal sulcus,birnlex_1338,,,,,,,:Category:Superior frontal sulcus,,,:Category:Sulcus,Sulcus
:Category:Anterior transverse temporal gyrus,,Anterior transverse temporal gyrus,birnlex_1657,,,,"great transverse gyrus of Heschl,anterior transverse convolution of Heschl,first transverse gyrus of Heschl",:Category:Human,,:Category:Temporal lobe,,,:Category:Regional part of brain,Regional part of brain
:Category:Anterodorsal nucleus,,Anterodorsal nucleus,birnlex_1358,,,,"nucleus thalamicus anterodorsalis,nucleus anterior thalami dorsalis,nucleus anterior dorsalis,nucleus anterodorsalis,nucleus anterodorsalis (Hassler),anterodorsal nucleus of the thalamus,nucleus anterosuperior,anterodorsal thalamic nucleus,nucleus anterodorsalis thalami,nucleus anterior dorsalis thalami",,,:Category:Anterior nuclear group,,,:Category:Regional part of brain,Regional part of brain
:Category:Anterodorsal nucleus of medial geniculate body,,Anterodorsal nucleus of medial geniculate body,birnlex_1600,,,,"anterodorsal nucleus of medial geniculate complex,pars anterodorsalis,nucleus corporis geniculati medialis",,,:Category:Medial geniculate body,,,:Category:Regional part of brain,Regional part of brain
:Category:Anterodorsal preoptic nucleus,,Anterodorsal preoptic nucleus,nlx_144455,,,,,,,:Category:Preoptic area,,,:Category:Regional part of brain,Regional part of brain
:Category:Anteromedial nucleus,,Anteromedial nucleus,birnlex_1365,,,,"nucleus anteromedialis thalami,nucleus thalamicus anteromedialis,anteromedial thalamic nucleus,nucleus anterior medialis thalami,nucleus anterior thalami medialis,nucleus anteromedialis (Hassler),nucleus anteromedialis,nucleus anterior medialis,anteromedial nucleus of the thalamus",,,:Category:Anterior nuclear group,,,:Category:Regional part of brain,Regional part of brain
:Category:Anteroventral cochlear nucleus,,Anteroventral cochlear nucleus,birnlex_2572,,,,"anterior part of anterior cochlear nucleus,anteroventral auditory nucleus,nucleus magnocellularis",,,:Category:Ventral cochlear nucleus,,,:Category:Regional part of brain,Regional part of brain
:Category:Anteroventral nucleus,,Anteroventral nucleus,birnlex_1372,,,,"nucleus thalamicus anteroventralis,anteroventral thalamic nucleus,nucleus anteroinferior,nucleus anteroventralis thalami,anteroventral nucleus of the thalamus,nucleus anterior ventralis,nucleus anterior thalami ventralis,nucleus anteroventralis,nucleus thalamicus anteroprincipalis",,,:Category:Anterior nuclear group,,,:Category:Regional part of brain,Regional part of brain
:Category:Anteroventral periventricular nucleus,,Anteroventral periventricular nucleus,birnlex_1401,,,,,,,:Category:Anterior hypothalamic region,,,:Category:Regional part of brain,Regional part of brain
:Category:Anteroventral preoptic nucleus,,Anteroventral preoptic nucleus,nlx_17240,,,,anteroventral preoptic nuclei,,,:Category:Preoptic area,,,:Category:Regional part of brain,Regional part of brain
:Category:Apex of cervical spinal cord dorsal horn,,Apex of cervical spinal cord dorsal horn,birnlex_1714,,,,Apex of cervical spinal cord posterior horn,,,,,,:Category:Regional part of cervical spinal cord dorsal horn,Regional part of cervical spinal cord dorsal horn
:Category:Apex of lumbar spinal cord dorsal horn,,Apex of lumbar spinal cord dorsal horn,birnlex_811,,,,Apex of lumbar spinal cord posterior horn,,,,,,:Category:Regional part of lumbar spinal cord dorsal horn,Regional part of lumbar spinal cord dorsal horn
:Category:Apex of thoracic spinal cord dorsal horn,,Apex of thoracic spinal cord dorsal horn,birnlex_1427,,,,Apex of thoracic spinal cord posterior horn,,,,,,:Category:Regional part of thoracic spinal cord dorsal horn,Regional part of thoracic spinal cord dorsal horn
:Category:Aplysia Cerebral ganglia,,Aplysia Cerebral ganglia,nlx_152110,,,,,:Category:Aplysia californica,,,,,:Category:Regional part of brain,Regional part of brain
:Category:Aplysia buccal ganglia,,Aplysia buccal ganglia,nlx_152072,This ganglia mediates feeding behavior.  Neurons within this ganglia produce either ingestion or rejection rhythmic patterned activity.,,,,:Category:Aplysia californica,,,,,:Category:Regional part of brain,Regional part of brain
:Category:Arbor Vitae,,Arbor Vitae,nlx_anat_20090101,"The white matter contained within the cerebellum, lying deep to the granule cell layer in the cerebellar cortex, excluding the parts of the cerebellar peduncles that extend outside of the cerebellum.  The deep cerebellar nuclei are embedded within the arbor vitae.",,,,,,":Category:Cerebellar white matter,:Category:White matter",,,:Category:Regional part of cerebellar white matter,Regional part of cerebellar white matter
:Category:Arcopallium,,Arcopallium,nlx_144487,,,,archistriatum; Arcopallium,,,:Category:Pallium,,,:Category:Regional part of brain,Regional part of brain
:Category:Arcuate nucleus of hypothalamus,,Arcuate nucleus of hypothalamus,birnlex_1638,,A nucleus located in the middle hypothalamus in the most ventral part of the third ventricle near the entrance of the infundibular recess. Its small cells are in close contact with the ependyma. (MSH),,"arcuate periventricular nucleus,Infundibular hypothalamic nucleus,arcuate nucleus",:Category:Mammal,,:Category:Intermediate hypothalamic region,,,:Category:Regional part of brain,Regional part of brain
:Category:Arcuate nucleus of medulla,,Arcuate nucleus of medulla,birnlex_2635,,,,"nucleus arciformis pyramidalis,arcuate nucleus,medial arcuate nucleus",,,:Category:Medulla oblongata,,,:Category:Regional part of brain,Regional part of brain
:Category:Arcuate sulcus,,Arcuate sulcus,nlx_153910,"Composite sulcus of the frontal lobe of the macaque. Located on the dorsolateral surface, it consists of the superior ramus of the arcuate sulcus (macaque), the inferior ramus of the arcuate sulcus and the spur of the arcuate sulcus (macaque) (http://braininfo.rprc.washington.edu/centraldirectory.aspx?ID=2379)",,,,:Category:Macaque,,:Category:Frontal lobe,,,:Category:Sulcus,Sulcus
:Category:Area X,,Area X,birnlex_1379,,,,"superior part,nucleus ventrooralis internus,nucleus ventralis oralis,pars posterior (Dewulf),nucleus ventrooralis internus (Hassler),area X of Olszewski,nucleus lateralis intermedius mediodorsalis situs ventralis medialis,anteromedial part of ventral lateral posterior nucleus (Jones)",,,:Category:Ventral lateral nucleus,,,:Category:Regional part of brain,Regional part of brain
:Category:Area postrema,,Area postrema,birnlex_2636,,"* A small, rounded eminence on each side of the FOURTH VENTRICLE, which receives nerve fibers from the SOLITARY NUCLEUS; SPINAL CORD; and adjacent areas of the MEDULLA. The area postrema lies outside the BLOOD-BRAIN BARRIER and its functions include acting as an emetic chemoreceptor. (MSH) * one of the ventricular organs, a highly vascular mound of tissue along the margin of the caudal part of the fourth ventricle; consists of many large capillaries, many glial, and some small nerve cells; receives fibers directly from the vagal and glossopharyngeal nerves; its efferent fibers go directly to the nucleus solitarius and the parabrachial nuclei and indirectly to other areas; it lies outside of the blood brain barrier and appears to function as a chemoreceptor trigger zone for emesis. (CSP)",,,,,:Category:Medulla oblongata,,,:Category:Circumventricular organ,Circumventricular organ
:Category:Area prostriata of DMVH2003,,Area prostriata of DMVH2003,nlx_149262,"Cytoarchitecturally defined region within the isthmus of the cingulate cortex located posterior to the parasubiculum of the isthmus, bordering area 17 posteriorly, further divided into an anterior and posterior portion based on cytoarchitectureal and immunocytochemical criteria",,,,:Category:Macaque,:Category:Prostriate area,:Category:Cingulo-parahippocampal isthmus of DMVH2003,,,:Category:Regional part of brain,Regional part of brain
:Category:Association cortex,,Association cortex,oen_0001107,Region of the cerebral cortex that integrates diverse sensory or motor information for purposeful action.,,,Association area,,,,,:Category:Gross anatomical part of cerebral cortex,:Category:Functional part of brain,Functional part of brain
:Category:Auditory cortex,,Auditory cortex,oen_0001105,"Neocortical areas that are functionally activated predominantly to sound, with the shortest latency.",,,,,,:Category:Auditory system,":Category:Sensory cortex,:Category:Electrophysiology concept",":Category:Hearing,:Category:Auditory system function",:Category:Functional part of brain,Functional part of brain
:Category:Auditory ganglion,,Auditory ganglion,birnlex_2564,,* The term spiral ganglion refers to the elongated ganglion that contains the cell bodies of the primary afferents innervating the cochlea. These afferent fibers course centrally in the vestibulocochlear nerve to the cochlear nuclei in the medulla oblongata. The spiral ganglion is not part of the brain (Carpenter-83). (NN) * The sensory ganglion of the COCHLEAR NERVE. The cells of the spiral ganglion send fibers peripherally to the cochlear hair cells and centrally to the cochlear nuclei (COCHLEAR NUCLEUS) of the BRAIN STEM. (MSH),,Spiral ganglion,,,,,,:Category:Cranial ganglion part of peripheral nervous system,Cranial ganglion part of peripheral nervous system
:Category:Axial regional part of spinal cord,,Axial regional part of spinal cord,birnlex_2665,,,,,,,,,,:Category:Regional part of spinal cord,Regional part of spinal cord
:Category:Banks of superior temporal sulcus,,Banks of superior temporal sulcus,birnlex_862,"Component of the temporal lobe, lateral aspect.  The rostral boundary is the superior temporal gyrus and the caudal boundary the middle temporal gyrus.  Within the FreeSurfer definition, this reflects primarily the posterior aspect of the superior temporal sulcus (Christine Fennema-Notestine).",,,,,,,,,:Category:Regional part of brain,Regional part of brain
:Category:Barrel,,Barrel,nlx_333,"A cytoarchitectural unit of the barrel cortex characterized in Nissl preparations a dense ring of cell bodies which has, roughly, the shape of a  circle or an ellipsoid.  As originally described by Woolsey and Van der Loos,  this ring represents the side of the barrel and surrounds an area of lower cell density which they named the hollow. Each barrel is separated from its  neighbors by a clear, nearly acellular area  termed  the septum. In tangentially  oriented sections, a septum can be seen to separate a barrel from its neighbors.",,,,:Category:Rodent,,:Category:Barrel cortex,,,:Category:Regional part of brain,Regional part of brain
:Category:Barrel cortex,,Barrel cortex,nlx_81,"The term primary somatosensory area, barrel field refers to one of 6 subdivisions of the primary somesthetic area of the cerebral cortex in the mouse (Dong-2004) and the rat (Swanson-2004). It is defined as dark-staining regions in Nissl and other types of stains of layer four of the somatosensory cortex of rodents where somatosensory inputs from the contralateral side of the body come in from the thalamus, in particular input from the whiskers. Each barrel ranges in size from 100-400 um in diameter. (modified from BrainInfo and Wikipedia)",,,Barrel field,:Category:Rodent,,:Category:Primary somatosensory cortex,,,:Category:Regional part of brain,Regional part of brain
