,Label,Synonym,Id,PMID,DefiningCitation,SuperCategory,Species,Definition,DefiningCriteria,Has role,FBbt Id,Abbrev,FBBT Link
:Category:Alar central lobule,Alar central lobule,,birnlex_907,,,Lobular parts of the cerebellar cortex,,,,,,,
:Category:Allocortex,Allocortex,,nlx_143557,,,Regional part of brain,,,,,,,
:Category:Alveus,Alveus,,birnlex_1510,"10906718, 1430328, 18551525, 2464627, 2540226, 2540227, 3514690, 3522662, 3793982, 701493, 8708010, 8833116, 9300764",,Regional part of brain,,"Layer of white matter in hippocampus lying just deep to the stratum oriens layer, continuous with the fimbria of the hippocampus",,,,,
:Category:Amiculum of dentate nucleus,Amiculum of dentate nucleus,,birnlex_1044,,,Regional part of brain,,,,,,amdt,
:Category:Amygdala,Amygdala,"amygdaloid nucleus,amygdaloid body,archistriatum,Amygdaloid complex",birnlex_1241,,,Regional part of brain,,"Subcortical brain region lying anterior to the hippocampal formation in the temporal lobe and anterior to the temporal horn of the lateral ventricle in some species.  It is usually subdivided into several groups.  Functionally, it is not considered a unitary structure (MM).",,:Category:PONS reference structure,,,
:Category:Amygdala of Macaque,Amygdala of Macaque,,nlx_12298,,,Amygdala,:Category:Macaque,,,,,,
:Category:Amygdala of PHT00,Amygdala of PHT00,amygdala,nlx_br_927,,ISBN 0123582555,Amygdala of Macaque,:Category:Macaque,,,,,Amyg,
:Category:Angular gyrus,Angular gyrus,,birnlex_1376,,,Regional part of brain,:Category:Human,"Part of inferior parietal lobule formed by the cortex surrounding the upturned end of the superior temporal sulcus (Nolte, The Human Brain, 6th ed, 2009, pg 659)",,,,,
:Category:Annectant gyrus,Annectant gyrus,,birnlex_1391,,,Regional part of brain,:Category:Human,,,,,,
:Category:Ansa lenticularis,Ansa lenticularis,,nlx_87326,,,Regional part of brain,:Category:Primate,"White matter bundle containing part of the projection of the globus pallidus to the thalamus, forming a compact, conspicuous bundle running beneath the internal capsule and hooking around its medial edge (Nolte, The Human Brain, 6th ed., 2009, pg 659)",,,,al,
:Category:Ansoparamedian fissure,Ansoparamedian fissure,"Fissura Inferior Posterior,Fissura Ansoparamedianus",nlx_anat_20081256,,,Superficial feature part of the cerebellum,,Fissure between cerebellar hemispheric lobules VIIBi and VIIBii.,,,,apmf,
:Category:Antenna lobe of Manduca,Antenna lobe of Manduca,,nlx_151563,,,Regional part of brain,:Category:Manduca,"The Antennal lobe is the first olfactory processing center in the insect brain (similar to the olfactory bulb in vertebrates).Manduca is a moth genus of the Sphingidae (hawkmoth) family. The Carolina Sphinx (Manduca sexta) is often used in biological research. http://en.wikipedia.org/wiki/Manduca",,,,,
:Category:Anterior Paravermal Cortex,Anterior Paravermal Cortex,,nlx_144122,,,Regional part of brain,,,,,,,
:Category:Anterior amygdaloid area,Anterior amygdaloid area,"anterior amygaloid area,anterior amygdalar area,anterior cortical nucleus",birnlex_2698,,,Regional part of brain,:Category:Mammal,,,,,AA,
:Category:Anterior cingulate cortex,Anterior cingulate cortex,anterior cingulate,birnlex_936,,,Regional part of brain,,The frontal part of the cingulate cortex that resembles a collar form around the corpus callosum. It includes both the ventral and dorsal areas of the cingulate cortex. http://en.wikipedia.org/wiki/File:Gray727.svg,,,,,
:Category:Anterior cingulate gyrus,Anterior cingulate gyrus,,birnlex_1603,,,Regional part of brain,:Category:Human,,,,,ACG,
:Category:Anterior column of fornix,Anterior column of fornix,,birnlex_731,,,Regional part of brain,,,,,,,
:Category:Anterior commissure anterior part,Anterior commissure anterior part,,birnlex_969,,,Regional part of brain,,"The part of the anterior commissure that contains fibers interconnecting the anterior olfactory nucleus in each hemisphere.  The fibers extend from the commissural region of the anterior commissure anteriorly into the olfactory bulb.  Within the commissural portion, the fibers lie in the anterior portion, but cannot be easily distinguished from the posterior fibers on gross dissection.  (Adapted from Heimer, 1996)",,,,,
:Category:Anterior commisure,Anterior commisure,,"nlx_144088,birnlex_1557",,,Regional part of brain,,,,,,AC,
:Category:Anterior horn of lateral ventricle,Anterior horn of lateral ventricle,,birnlex_1279,,,Regional part of brain,,"Part of the lateral ventricle that extends anteriorly into the frontal lobes, bordered by the head of the caudate nucleus on the lateral side (Adapted from Heimer, 1996)",,,,,
:Category:Anterior hypothalamic region,Anterior hypothalamic region,Anterior hypothalamus,birnlex_1005,,,Regional part of brain,,,,,,AHR,
:Category:Anterior limb of internal capsule,Anterior limb of internal capsule,,nlx_144257,,,Regional part of brain,:Category:Primate,Portion of internal capsule lying between the lenticular nucleus and the head of the caudate nucleus.,,,,,
:Category:Anterior lobe of the cerebellum,Anterior lobe of the cerebellum,"spinocerebellum,Paleocerebellum",birnlex_1118,,,Lobe parts of the cerebellar cortex,,,,,,ALCb,
:Category:Anterior median eminence,Anterior median eminence,,birnlex_1264,,,Regional part of brain,,,,,,AME,
:Category:Anterior median oculomotor nucleus,Anterior median oculomotor nucleus,,birnlex_1445,,,Regional part of brain,,,,,,AM3,
:Category:Anterior nuclear group,Anterior nuclear group,"anterior nucleus of thalamus,nuclei anterior thalami,nuclei thalamicus anterior,nuclei anteriores thalami,nuclei anteriores (thalami),anterior thalamus,anterior thalamic nuclei",birnlex_1692,,,Regional part of brain,,"Mostly gray regional part of anterior thalamic region, consisting of the anterior medial, anterior dorsal and anterior lateral thalamic nuclei in primates.  In rodents, it consists of anterior medial and anterior ventral divisions, with several subdivisions of each, according to Paxinos (MM: 2006-10-26)",,,,ANG,
:Category:Anterior nucleus of hypothalamus,Anterior nucleus of hypothalamus,Anterior hypothalamic area,birnlex_1226,,,Regional part of brain,,,,,,"AH, AHi",
:Category:Anterior nucleus of hypothalamus central part,Anterior nucleus of hypothalamus central part,,birnlex_1119,,,Regional part of brain,,,,,,"AHNc, AHC",
:Category:Anterior nucleus of hypothalamus dorsal part,Anterior nucleus of hypothalamus dorsal part,,birnlex_1139,,,Regional part of brain,,,,,,AHNd,
:Category:Anterior nucleus of hypothalamus posterior part,Anterior nucleus of hypothalamus posterior part,,birnlex_1125,,,Regional part of brain,,,,,,"AHNp, AHP",
:Category:Anterior olfactory nucleus,Anterior olfactory nucleus,,birnlex_1085,,,Nucleus of CNS,:Category:Vertebrata,"Laminated structure lying caudal to the olfactory bulb in all vertebrates.  Based on Nissl stains, the AON has been divided into two basic zones: ""pars externa,"" a thin ring of cells that encircles the rostral end of the olfactory peduncle, and the remainder, sometimes referred to as ""pars cruralis"" or ""pars principalis""",,,,"AON, AO",
:Category:Anterior olfactory nucleus pars externa,Anterior olfactory nucleus pars externa,,nlx_152598,,,Regional part of brain,,"One of two main divisions of the anterior olfactory nucleus, comprising a thin ring of cells that encircles the rostral end of the olfactory peduncle",cyto-architecture,,,,
:Category:Anterior olfactory nucleus pars principalis,Anterior olfactory nucleus pars principalis,,nlx_152597,,,Regional part of brain,,,,,,,
:Category:Anterior perforated substance,Anterior perforated substance,substantia perforata anterior,birnlex_1096,,,Regional part of brain,:Category:Human,"Regional part of telencephalon lying on the basal surface and bounded by the olfactory trigone rostrally, the diagonal band medially and caudally and the prepiriform cortex laterally.  It is characterized by many perforations caused by small blood vessels entering the gray matter (Meyer et al., J. Comp. Neurol 284: 405, 1989).",,,,,
:Category:Anterior pretectal nucleus,Anterior pretectal nucleus,,nlx_144456,,,Regional part of brain,:Category:Mammal,,,,,,
:Category:Anterior quadrangular lobule,Anterior quadrangular lobule,,birnlex_913,,,Lobular parts of the cerebellar cortex,,,,,,,
:Category:Anterior transverse temporal gyrus,Anterior transverse temporal gyrus,"great transverse gyrus of Heschl,anterior transverse convolution of Heschl,first transverse gyrus of Heschl",birnlex_1657,,,Regional part of brain,:Category:Human,,,,,,
:Category:Anterodorsal nucleus,Anterodorsal nucleus,"nucleus thalamicus anterodorsalis,nucleus anterior thalami dorsalis,nucleus anterior dorsalis,nucleus anterodorsalis,nucleus anterodorsalis (Hassler),anterodorsal nucleus of the thalamus,nucleus anterosuperior,anterodorsal thalamic nucleus,nucleus anterodorsalis thalami,nucleus anterior dorsalis thalami",birnlex_1358,,,Regional part of brain,,,,,,AD,
:Category:Anterodorsal nucleus of medial geniculate body,Anterodorsal nucleus of medial geniculate body,"anterodorsal nucleus of medial geniculate complex,pars anterodorsalis,nucleus corporis geniculati medialis",birnlex_1600,,,Regional part of brain,,,,,,ADMG,
:Category:Anterodorsal preoptic nucleus,Anterodorsal preoptic nucleus,,nlx_144455,,,Regional part of brain,,,,,,,
:Category:Anteromedial nucleus,Anteromedial nucleus,"nucleus anteromedialis thalami,nucleus thalamicus anteromedialis,anteromedial thalamic nucleus,nucleus anterior medialis thalami,nucleus anterior thalami medialis,nucleus anteromedialis (Hassler),nucleus anteromedialis,nucleus anterior medialis,anteromedial nucleus of the thalamus",birnlex_1365,,,Regional part of brain,,,,,,AM,
:Category:Anteroventral cochlear nucleus,Anteroventral cochlear nucleus,"anterior part of anterior cochlear nucleus,anteroventral auditory nucleus,nucleus magnocellularis",birnlex_2572,,,Regional part of brain,,,,,,"AVCo, VCA",
:Category:Anteroventral nucleus,Anteroventral nucleus,"nucleus thalamicus anteroventralis,anteroventral thalamic nucleus,nucleus anteroinferior,nucleus anteroventralis thalami,anteroventral nucleus of the thalamus,nucleus anterior ventralis,nucleus anterior thalami ventralis,nucleus anteroventralis,nucleus thalamicus anteroprincipalis",birnlex_1372,,,Regional part of brain,,,,,,AV,
:Category:Anteroventral periventricular nucleus,Anteroventral periventricular nucleus,,birnlex_1401,,,Regional part of brain,,,,,,AVPe,
:Category:Anteroventral preoptic nucleus,Anteroventral preoptic nucleus,anteroventral preoptic nuclei,nlx_17240,"89,462,891,374,435",,Regional part of brain,,,,,,,
:Category:Aplysia Cerebral ganglia,Aplysia Cerebral ganglia,,nlx_152110,,,Regional part of brain,:Category:Aplysia californica,,,,,,
:Category:Aplysia buccal ganglia,Aplysia buccal ganglia,,nlx_152072,,,Regional part of brain,:Category:Aplysia californica,This ganglia mediates feeding behavior.  Neurons within this ganglia produce either ingestion or rejection rhythmic patterned activity.,,,,,
:Category:Arbor Vitae,Arbor Vitae,,nlx_anat_20090101,,,Regional part of cerebellar white matter,,"The white matter contained within the cerebellum, lying deep to the granule cell layer in the cerebellar cortex, excluding the parts of the cerebellar peduncles that extend outside of the cerebellum.  The deep cerebellar nuclei are embedded within the arbor vitae.",,,,,
:Category:Arcopallium,Arcopallium,archistriatum; Arcopallium,nlx_144487,,,Regional part of brain,,,,,,A,
:Category:Arcuate nucleus of hypothalamus,Arcuate nucleus of hypothalamus,"arcuate periventricular nucleus,Infundibular hypothalamic nucleus,arcuate nucleus",birnlex_1638,,,Regional part of brain,:Category:Mammal,,,,,ArcH,
:Category:Arcuate nucleus of medulla,Arcuate nucleus of medulla,"nucleus arciformis pyramidalis,arcuate nucleus,medial arcuate nucleus",birnlex_2635,,,Regional part of brain,,,,,,ArcM,
:Category:Area X,Area X,"superior part,nucleus ventrooralis internus,nucleus ventralis oralis,pars posterior (Dewulf),nucleus ventrooralis internus (Hassler),area X of Olszewski,nucleus lateralis intermedius mediodorsalis situs ventralis medialis,anteromedial part of ventral lateral posterior nucleus (Jones)",birnlex_1379,,,Regional part of brain,,,,,,,
:Category:Area postrema,Area postrema,,birnlex_2636,,,Circumventricular organ,,,,,,AP,
:Category:Area prostriata of DMVH2003,Area prostriata of DMVH2003,,nlx_149262,,,Regional part of brain,:Category:Macaque,"Cytoarchitecturally defined region within the isthmus of the cingulate cortex located posterior to the parasubiculum of the isthmus, bordering area 17 posteriorly, further divided into an anterior and posterior portion based on cytoarchitectureal and immunocytochemical criteria",cyto-architecture,,,,
:Category:Association cortex,Association cortex,Association area,oen_0001107,,,Functional part of brain,,Region of the cerebral cortex that integrates diverse sensory or motor information for purposeful action.,,,,,
:Category:Auditory cortex,Auditory cortex,,oen_0001105,,,Functional part of brain,,"Neocortical areas that are functionally activated predominantly to sound, with the shortest latency.",,":Category:Sensory cortex,:Category:Electrophysiology concept",,,
:Category:Banks of superior temporal sulcus,Banks of superior temporal sulcus,,birnlex_862,,,Regional part of brain,,"Component of the temporal lobe, lateral aspect.  The rostral boundary is the superior temporal gyrus and the caudal boundary the middle temporal gyrus.  Within the FreeSurfer definition, this reflects primarily the posterior aspect of the superior temporal sulcus (Christine Fennema-Notestine).",,,,,
:Category:Barrel,Barrel,,nlx_333,,"Woosley, T.A., Van Der Loos, H. 1969. The structural organization of layer IV in the somatosensory region (SI) of mouse cerebral cortex: The description of a cortical field composed of discrete cytoarchitectonic units. Brain Research. 205-238.",Regional part of brain,:Category:Rodent,"A cytoarchitectural unit of the barrel cortex characterized in Nissl preparations a dense ring of cell bodies which has, roughly, the shape of a  circle or an ellipsoid.  As originally described by Woolsey and Van der Loos,  this ring represents the side of the barrel and surrounds an area of lower cell density which they named the hollow. Each barrel is separated from its  neighbors by a clear, nearly acellular area  termed  the septum. In tangentially  oriented sections, a septum can be seen to separate a barrel from its neighbors.",cyto-architecture,,,,
:Category:Barrel cortex,Barrel cortex,Barrel field,nlx_81,,"Woosley, T.A., Van Der Loos, H. 1969. The structural organization of layer IV in the somatosensory region (SI) of mouse cerebral cortex: The description of a cortical field composed of discrete cytoarchitectonic units. Brain Research. 205-238.",Regional part of brain,:Category:Rodent,"The term primary somatosensory area, barrel field refers to one of 6 subdivisions of the primary somesthetic area of the cerebral cortex in the mouse (Dong-2004) and the rat (Swanson-2004). It is defined as dark-staining regions in Nissl and other types of stains of layer four of the somatosensory cortex of rodents where somatosensory inputs from the contralateral side of the body come in from the thalamus, in particular input from the whiskers. Each barrel ranges in size from 100-400 um in diameter. (modified from BrainInfo and Wikipedia)",cyto-architecture,,,,
:Category:Barrington's nucleus,Barrington's nucleus,pontine micturition center,nlx_144457,,,Regional part of brain,:Category:Mammal,"collection of cell bodies located in the rostral pons in the brainstem involved in the supraspinal regulation of micturition (urination). The PMC makes connections with other brain centers to control micturition, including the medial frontal cortex, insular cortex, hypothalamus and periaqueductal gray (PAG). The PAG in particular acts a relay station for ascending bladder information from the spinal cord and incoming signals from higher brain areas (http://en.wikipedia.org/wiki/Pontine_micturition_center)",,,,,
:Category:Basal amygdaloid nucleus,Basal amygdaloid nucleus,"basolateral nucleus (De Olmos),basolateral amygaloid nucleus,basolateral amygdalar nucleus",birnlex_2692,,,Regional part of brain,,,,,,"BA, BL",
:Category:Basal forebrain,Basal forebrain,,birnlex_1560,,,Regional part of brain,,"A region of the brain consisting of ventral and rostral subcortical regions of the telencephalon, including among others, the basal ganglia, septal nuclei, amygdala, ventral pallidum, substantia innominata, and basal nucleus of Meynert.",,,,,
:Category:Basal ganglia,Basal ganglia,,birnlex_826,,,Aggregate regional part of brain,,"Subcortical masses of gray matter in the forebrain and midbrain that are richly interconnected and so viewed as a functional system.  The nuclei usually included are the caudate nucleus (caudoputamen in rodents), putamen, globus pallidus, substantia nigra (pars compacta and pars reticulata) and the subthalamic nucleus.  Some also include the nucleus accumbens and ventral pallidum.",,,,,
:Category:Basal ganglia of rodent,Basal ganglia of rodent,rodent basal ganglia,nlx_65680,,,Basal ganglia,:Category:Rodent,The basal ganglia of the rodent,,,,,
:Category:Basal nuclear complex,Basal nuclear complex,"basal nuclei of the forebrain,Basal ganglia,basal nuclei,Cerebral nuclei",birnlex_1629,,,Regional part of brain,,"The deep nuclei of telencephalic origin found in the basal region of the forebrain, The deep nuclei found in the basal forebrain.Large subcortical nuclear masses derived from the telencephalon and located in the basal regions of the cerebral hemispheres. (MeSH definition of Basal Ganglia in UMLS).",,,,,
:Category:Basal nucleus,Basal nucleus,"Nucleus basalis,Magnocellular basal nucleus,Nucleus basalis of Meynert,Ch4,magnocellular corticopetal cell complex",birnlex_1107,,,Regional part of brain,:Category:Mammal,"One of four major groupings of cholinergic neurons in the basal forebrain containing neurons that project widely to the cortex and amygdala (Butler and Hodos, Comparative Vertebrate Neuroanatomy, 3rd ed, 2005, pg 488)",,,,,
:Category:Basal part of pons,Basal part of pons,Basis pontis,birnlex_1043,,,Regional part of brain,,,,,,,
:Category:Basolateral nuclear complex,Basolateral nuclear complex,"basolateral nuclear group,vicarious cortex,pars basolateralis (Corpus amygdaloideum),amygdalar basolateral nucleus,amygdaloid basolateral complex,deep nuclei,basolateral nucleus of the amygdala",birnlex_2679,,,Regional part of brain,,"A set of amygdalar nuclei comprising the lateral nucleus (LA), the basal nucleus (BA), and the accessory basal nuclei (ABN). These nuclei are bordered laterally by the external capsule and medially by the central amygdalar nucleus as well as the amygdalohippocampal area. This definition refers to the rat Basolateral nuclear complex.",,,,BL,
:Category:Bed nuclei of the stria terminalis oval nucleus,Bed nuclei of the stria terminalis oval nucleus,,nlx_77783,,"Ju G, Swanson LW. 1989. Studies on the cellular architecture of the bed nuclei of the stria terminalis in the rat: I. Cytoarchitecture. J Comp Neurol 280: 587-602",Regional part of brain,:Category:Rat,"Part of bed nucleus of stria terminalis, comprising a distinct, large, egg-shaped collection of neurons that, together with the juxtacapsular (Ju) and rhomboid (Rh) nuclei, encompass the anterolateral area of the BST (Ju and Swanson, 1989)",,,,,
:Category:Bed nucleus of stria terminalis,Bed nucleus of stria terminalis,"bed nucleus stria terminalis (Johnson),interstitial nucleus of stria terminalis,intercalate nucleus of stria terminalis,bed nucleus of the stria terminalis,nucleus of the stria terminalis,bed nuclei of the stria terminalis",birnlex_724,,,Regional part of brain,":Category:Rodent,:Category:Carnivora,:Category:Primate","Nucleus defined on the basis of Nissl stain whose cells are embedded in, and surround the stria terminalis at its rostral extreme, where it splits into multiple bundles directed ventrally toward different parts of the hypothalamus. The nucleus wraps around the anterior commissure. It is bounded laterally by the internal capsule, medially by the lateral septal nucleus and the anterior column of the fornix, and dorsally by the head of the caudate nucleus and the frontal horn of the lateral ventricle. Some authors have expanded the definition on the basis of other stains and connectivity studies to include cell groups distributed through the dorsal part of substantia innominata between the classical nucleus and the amygdala. The extended nucleus of stria terminalis by that definition is classified as part of the extended amygdala ( Olmos-2004 ). The nucleus is found in the human, the macaque, the rat and the mouse.  Adapted from Brain Info.",,,,"BST, BNST",
:Category:Body of caudate nucleus,Body of caudate nucleus,,birnlex_1217,,,Regional part of brain,,Part of caudate nucleus lying just dorsal to the thalamus,,,,,
:Category:Body of fornix,Body of fornix,,birnlex_739,,,Regional part of brain,,Part of fornix adjacent to the crura where they join together at the midline underneath the corpus callosum,,,,,
:Category:Body of lateral ventricle,Body of lateral ventricle,central part of lateral ventricle,birnlex_1287,,,Regional part of brain,,"Part of lateral ventricle consisting of the central portion that lies dorsally, bounded by the thalamus on the ventral side (Adapted from Heimer, 1996)",,,,,
:Category:Brachium of inferior colliculus,Brachium of inferior colliculus,,birnlex_929,,,Regional part of brain,:Category:Mammal,,,,,,
:Category:Brachium of superior colliculus,Brachium of superior colliculus,"superior quadrigeminal brachium,superior brachium",birnlex_1065,,,Regional part of brain,:Category:Mammal,Bundle of fibers that passes over the medial geniculate nucleus (in humans) to reach the superior colliculus.  Contains afferents from the retina.,,,,,
:Category:Brainstem,Brainstem,brain stem,birnlex_1565,,,Regional part of brain,,"The lower portion of the brain through which the forebrain sends information to, and receives information from, the spinal cord and peripheral nerves. Major functions located in the brainstem include those necessary for survival, e.g., breathing, heart rate, blood pressure, and arousal. (NIDA Media Guide Glossary).  Note that the definition of brainstem varies in different nomenclatures, for example, some definitions include the diencephalon.",,,,,
:Category:Broca's area,Broca's area,Convolution of Broca,FMAID: 242176,,,Regional part of brain,:Category:Human,"Part of left frontal lobe of human located in the posterior part of the inferior frontal gyrus named for the French physician Pierre-Paul Broca (Heimer, L. The Human Brain and Spinal Cord, 2nd ed, 1995, pg 446). According to FMA, it comprises Brodmann's area 44 and part of area 45. Broca's area is generally considered to be involved in speech and language processing and production (e.g., speech articulation, lexical semantics, and syntax/syntactic decoding); but has also been shown to be related to non-verbal frequency discrimination, working memory, complex hand movements, associative sensorimotor learning and sensorimotor integration, imitation, musical processing, and hallucinations in those with Schizophrenia (http://www.springerreference.com/docs/html/chapterdbid/179813.html).",,,,,
:Category:CA1,CA1,"CA1 field of hippocampus,CA1 field,cornu ammonis 1,Regio superior,field CA1 of hippocampus",birnlex_1197,,,Regional part of brain,,"Part of hippocampus proper bounded by CA2 and the subiculum, characterized by pyramidal neurons that receive projections from pyramidal neurons of CA3 via the Schaffer collaterals.",cyto-architecture,,,,
:Category:CA1 alveus,CA1 alveus,,nlx_anat_1005038,,,Regional part of brain,,"Part of alveus lying in area CA1, deep to the stratum oriens of CA1 and continuous with the alveus of CA2",,,,,
:Category:CA1 stratum lacunosum moleculare,CA1 stratum lacunosum moleculare,CA1 s. lacunosum moleculare,birnlex_4123,,,Cytoarchitectural fields of hippocampal formation,,"Part of stratum lacunosum-moleculare lying in area CA1, superficial to CA1 stratum radiatum and bounded by the pial surface, continuous with stratum lacunosum-moleculare of CA2 and the subiculum stratum moleculare",,,,,
:Category:CA1 stratum oriens,CA1 stratum oriens,"CA1 s. oriens,Field CA1 stratum oriens",birnlex_4116,,,Regional part of brain,:Category:Mammal,"Part of stratum oriens lying in area CA1, superficial to the alveus of CA1 and deep to the pyramidal cell layer of CA1.  It is continuous with the stratum oriens of CA2 and bounded by the subiculum",,,,,
:Category:CA1 stratum pyramidale,CA1 stratum pyramidale,"CA1 pyramidal cell layer,CA1 s. pyramidale,CA1 stratum pyramidale hippocampi",birnlex_4110,,,Cytoarchitectural fields of hippocampal formation,,"Part of pyramidal cell layer lying in area CA1, superficial to the CA1 stratum oriens, and deep to the stratum radiatum of CA1, continuous with the pyramidal cell layers of CA2 and the subiculum.  It is characterized by pyramidal cell bodies that are generally smaller in size than those in the other hippocampal sectors.",,,,,
:Category:CA1 stratum radiatum,CA1 stratum radiatum,CA1 part of stratum radiatum,birnlex_4119,,,Cytoarchitectural fields of hippocampal formation,,"Part of stratum radiatum lying in area CA1, superficial to the CA1 pyramidal cell layer and deep to the CA1 stratum lucidum-moleculare, continuous with the stratum radiatum of CA2 and bounded by the subiculum.  It contains the Schaffer collateral projection from CA3.",,,,,
:Category:CA2,CA2,"CA2 field of hippocampus,CA2 field",birnlex_1362,,,Cytoarchitectural fields of hippocampal formation,,"Part of hippocampus proper bounded by areas CA3 and CA1, characterized by a narrow layer of large pyramidal cells, similar in size to CA3 pyramidal cells, but which lack the mossy fiber input from the dentate gyrus (adapted from Paxinos, G.  The rat central nervous system, 2nd ed, Academic Press, San Diego, 1995, pg. 460)",,,,,
:Category:CA2 alveus,CA2 alveus,,nlx_anat_1008001,,,Cytoarchitectural fields of hippocampal formation,,Part of alveus lying in area CA2 deep to CA2 stratum oriens continuous with the alveus of CA1,,,,,
:Category:CA2 stratum lacunosum moleculare,CA2 stratum lacunosum moleculare,,birnlex_4124,,,Cytoarchitectural fields of hippocampal formation,,"Part of stratum lacunosum-moleculare lying in area CA2, superficial to the CA2 stratum radiatum, that is continuous with the stratum lacunosum-moleculare in areas CA3 and CA1",,,,,
:Category:CA2 stratum oriens,CA2 stratum oriens,,birnlex_4115,,,Cytoarchitectural fields of hippocampal formation,,Part of stratum oriens lying in area CA3 deep to the CA3 pyramidal cell layer and continuous with stratum oriens of area CA2 and bounded by the dentate gyrus hilus.,,,,,
:Category:CA2 stratum pyramidale,CA2 stratum pyramidale,"CA2 stratum pyramidale hippocampi,stratum pyramidale of CA2,CA2 pyramidal cell layer,pyramidal cell layer of CA2",birnlex_4111,,,Regional part of brain,,"Part of pyramidal cell layer in area CA2, lying superficial to the CA2 stratum oriens, and deep to the stratum radiatum of CA2, continuous with the pyramidal cell layers of CA1 and CA3",,,,,
:Category:CA2 stratum radiatum,CA2 stratum radiatum,stratum radiatum of CA2,birnlex_4120,,,Regional part of brain,,"Part of stratum radiatum in area CA2,  lying superficial to the pyramidal cell layer and deep to CA2  stratum lacunosum-moleculare, continuous with the stratum radiatum of CA1 and CA3.",,,,,
:Category:CA3,CA3,"CA3 field of hippocampus,CA3 field",birnlex_1204,,,Cytoarchitectural fields of hippocampal formation,,"Part of hippocampus proper bounded by the hilus of the dentate gyrus and area CA2, characterized by large pyramidal cells and a dense projection from dentate gyrus granule cell mossy fibers",,,,,
:Category:CA3 alveus,CA3 alveus,,nlx_anat_1005039,,,Regional part of brain,,Part of alveus lying within hippocampal sector CA3,,,,,
:Category:CA3 stratum lacunosum moleculare,CA3 stratum lacunosum moleculare,CA3 part of stratum lacunosum moleculare,birnlex_4125,,,Cytoarchitectural fields of hippocampal formation,,Part of stratum lacunosum-moleculare in area CA3. It is bounded by the stratum lacunosum-moleculare of CA2 and CA1. It is bounded superficially by the pial surface and deep by the CA3 stratum radiatum. It is continuous with the stratum lacunosum-moleculare of CA2.,,,,,
:Category:CA3 stratum lucidum,CA3 stratum lucidum,"Stratum lucidum,CA3 s. lucidum",nlx_78258,,,Cytoarchitectural fields of hippocampal formation,,"Cytoarchitectural layer in CA3 consisting of a relatively acellular zone lying just above the pyramidal cell layer, occupied by mossy fiber axons originating from the dentate gyrus (adapted from Paxinos G.  The rat central nervous system, 2nd edition, Academic Press, San Diego, 1995).",,,,,
